company all Details
"['U72900TN2016PTC110888', 'INDUSTRIAL STORE PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2001PTC047306', 'ORANGE SOFTWARE PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN1989PTC018327', 'VENTURE GRAPHICS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2003PTC050219', 'ARITHMA TECHNOLOGIES INDIA PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN1995PTC030618', 'BEACHLINE BUSINESS SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN1998PTC040001', 'VEL INFOTECH SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2016PTC112127', 'HUNGREEMINDS NETWORKS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2003PTC050555', 'SVL INFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2006PTC060354', 'HERAKLE DYNAMIC SYNCHRONIZERS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2003PTC050727', 'ESPECIAL SOFTECH PROJECTS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2014PTC096707', 'OMNEX SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2000PTC045883', 'VIDISHA TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2006PTC058915', 'MAPPS INFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC149394', 'DATA FOCUS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC136688', 'GROWLABS TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC154019', 'NA3 TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2018PTC120795', 'BOTHOFUS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2004PTC054086', 'BIQ SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC144762', 'BENCHMARK TECHHUB PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2003PTC050702', 'K9 TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2000PTC044277', 'INNOVATIVE CAD GRAFX PRIVATE LIMITED', 'Chennai', 'Active']"
