  company all Details
"
"['U72900MH2001PTC133825', 'INFOWAYS ANA (INDIA ) PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC350836', 'MAF TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC385512', 'SHNA IT SOLUTION PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC331435', 'BERSAGLIO TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC388188', 'GREENACRE AGRITECH SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2021PTC371967', 'FINYAAN INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC324459', 'PINC TECH SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2000PTC126131', 'NEXT MARKETS (INDIA) PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC347543', 'BIG TOKEN DATA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC367628', 'SUPPORT SPACE TECHNOSOLUTION PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2000PTC126541', 'GLOBAL INFOTECH SECURITAS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2000PTC125144', 'CAPTECH ONLINE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC324815', 'BERNINI VENTURES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2008PTC183110', 'TRADEMAX SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2014PTC260144', 'LEUCON TECHNOLOGY PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC377212', 'BOMBAYTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2000PTC123958', 'FINDSTONE INTERNET PRIVATE LIMITED.', 'Mumbai', 'Active']"
"['U72900MH2017PTC291422', 'DATAVIV TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC376522', 'MOODLESOFT TECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC361217', 'DINOSYSINFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC377921', 'AURO FINTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2008PTC188342', 'GRIDD INFORMATION SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72502MH2014PTC255127', 'ZI SYSTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2023PTC397605', 'OUTBAMARY SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72400MH2013PTC247207', 'DOTS BROADCAST SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72100MH2022PTC374306', 'SHIMORA OVERSEAS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC346260', 'DORSUS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH1991PTC062138', 'SUDATTA SOFTWARE EXPORTS PVT LTD', 'Mumbai', 'Active']"
"['U72900MH2020PTC350339', 'BIRCHFORD SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2011PTC222692', 'DOTS TECHNO-CREATIVE PRIVATE LIMITED', 'Mumbai', 'Active']"
[]
"['U72900MH2022PTC375635', 'SATSANGAM GENESIS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2021PTC366372', 'JSW NEW AGE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2006PTC160856', 'ENTERPRISE BPO SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC271861', 'DUMLA SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2021PTC368705', 'UNIFYING SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC355399', 'FAMFERRY PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2021PTC369913', 'UNIFYING TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC396058', 'SOFTACH IT SOLUTION PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC342136', 'EIGHTY8 VENTURES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72100MH2004PTC148510', 'CITRUS SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC372219', 'ULTRAGENIUS TECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC341322', 'LEX SIGN TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC359303', 'SUVANSYS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC337243', 'WISEBOARD TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC273237', 'AUTOSYS INDUSTRIAL SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2000PTC128031', 'ENTELLISOFT TECHNOLOGIES INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC367555', 'BOOBOM INFRA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2006PTC281273', 'BRIDGEWATER SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC319201', 'MAVENTRA LEARNING SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72501MH2017PTC296514', 'DZTRANZ INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2015PTC264236', 'DVK TECHNOLOGY SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2008PTC180687', 'SBM STUDIO PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2013PTC247343', 'CMS UNIVERSAL SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2007PTC176858', 'SAI AASHA IT PARKS PRIVATE LIMITED', 'Mumbai', 'Active']"
